sample,fastq_1,fastq_2,strandedness,Run
GSM8553771,SRR30874860_1.fastq,SRR30874860_2.fastq,auto,SRR30874860
GSM8553770,SRR30874861_1.fastq,SRR30874861_2.fastq,auto,SRR30874861
GSM8553769,SRR30874862_1.fastq,SRR30874862_2.fastq,auto,SRR30874862
GSM8553768,SRR30874863_1.fastq,SRR30874863_2.fastq,auto,SRR30874863
GSM8553767,SRR30874864_1.fastq,SRR30874864_2.fastq,auto,SRR30874864
GSM8553766,SRR30874865_1.fastq,SRR30874865_2.fastq,auto,SRR30874865
GSM8553765,SRR30874866_1.fastq,SRR30874866_2.fastq,auto,SRR30874866
GSM8553764,SRR30874867_1.fastq,SRR30874867_2.fastq,auto,SRR30874867
GSM8553763,SRR30874868_1.fastq,SRR30874868_2.fastq,auto,SRR30874868
GSM8553762,SRR30874869_1.fastq,SRR30874869_2.fastq,auto,SRR30874869
GSM8553761,SRR30874870_1.fastq,SRR30874870_2.fastq,auto,SRR30874870
GSM8553760,SRR30874871_1.fastq,SRR30874871_2.fastq,auto,SRR30874871
GSM8553759,SRR30874872_1.fastq,SRR30874872_2.fastq,auto,SRR30874872
GSM8553758,SRR30874873_1.fastq,SRR30874873_2.fastq,auto,SRR30874873
GSM8553757,SRR30874874_1.fastq,SRR30874874_2.fastq,auto,SRR30874874
GSM8553756,SRR30874875_1.fastq,SRR30874875_2.fastq,auto,SRR30874875
GSM8553755,SRR30874876_1.fastq,SRR30874876_2.fastq,auto,SRR30874876
GSM8553754,SRR30874877_1.fastq,SRR30874877_2.fastq,auto,SRR30874877
GSM8553753,SRR30874878_1.fastq,SRR30874878_2.fastq,auto,SRR30874878
GSM8553752,SRR30874879_1.fastq,SRR30874879_2.fastq,auto,SRR30874879
GSM8553751,SRR30874880_1.fastq,SRR30874880_2.fastq,auto,SRR30874880
GSM8553750,SRR30874881_1.fastq,SRR30874881_2.fastq,auto,SRR30874881
GSM8553749,SRR30874882_1.fastq,SRR30874882_2.fastq,auto,SRR30874882
GSM8553748,SRR30874883_1.fastq,SRR30874883_2.fastq,auto,SRR30874883
GSM8553747,SRR30874884_1.fastq,SRR30874884_2.fastq,auto,SRR30874884
GSM8553746,SRR30874885_1.fastq,SRR30874885_2.fastq,auto,SRR30874885
GSM8553745,SRR30874886_1.fastq,SRR30874886_2.fastq,auto,SRR30874886
GSM8553744,SRR30874887_1.fastq,SRR30874887_2.fastq,auto,SRR30874887
GSM8553743,SRR30874888_1.fastq,SRR30874888_2.fastq,auto,SRR30874888
GSM8553742,SRR30874889_1.fastq,SRR30874889_2.fastq,auto,SRR30874889
GSM8553741,SRR30874890_1.fastq,SRR30874890_2.fastq,auto,SRR30874890
GSM8553740,SRR30874891_1.fastq,SRR30874891_2.fastq,auto,SRR30874891
GSM8553715,SRR30874892_1.fastq,SRR30874892_2.fastq,auto,SRR30874892
GSM8553714,SRR30874893_1.fastq,SRR30874893_2.fastq,auto,SRR30874893
GSM8553713,SRR30874894_1.fastq,SRR30874894_2.fastq,auto,SRR30874894